id,name,countries,status,regions,websites
2cbe407409b5340a8a35266314043918b4f7526f,Savognin,Switzerland,operating,Graubunden,
840b9d3dbdc95f1e40d5e8a6d2fe7d73cefcb5aa,Col de Porte,France,operating,Isère,https://www.coldeporte.fr/
a12e7f7e5ef118940f2d0d3aca4bc0813dbb1333,Rouge Gazon,France,operating,Vosges,
446d8beeef2feffdaf8b829e8169a9b808ac23a6,Piana di Vigezzo,Italy,operating,Verbano-Cusio-Ossola,https://www.pianadivigezzo.it/
f21450a542a05b0b1d7dc7e647189168f962fa66,"Курорт Красная Поляна, Krasnaya Polyana Resort",Russia,operating,Krasnodar,https://krasnayapolyanaresort.ru/
6e135ea2a7e28e5194c76ef6acba0c49302a02e1,Estació d'esquí i muntanya Vallter 2000,Spain,operating,Girona,http://www.vallter2000.com
a654d2ce9e67040e03edcb1b31c8df2abb5100b3,Skigebiet Petzen,Austria,operating,Carinthia,https://www.petzen.net/
8639092db09f5fff043b95ff05a654b8e3f879e3,Skigebiet Hochhäderich,Austria,operating,Vorarlberg,https://www.alpenarena.com/
f09500d7cff4036c5241afa941f84b4e17187cea,"Архыз, Arhyz",Russia,operating,Karachay-Cherkess,https://resort-arkhyz.ru/
f0f1464ccf3931c0f102675ad57d66599b2391af,Bjorli Skisenter,Norway,operating,Innlandet,https://www.bjorliskisenter.no/
ddf90738007ffd43816f8add6a5eef59733f7de5,"Эльбрус, Elbrus",Russia,operating,Kabardino-Balkar,
775634f8f5f5b0724ecd27d82909b2008d58f7d5,Les Sybelles,France,operating,Savoie,https://www.sybelles.ski/
3dd11e6be90d6e0ebc4938d834e0ca28fcc965a7,Loipenpark Rotes Moor,Germany,operating,Bavaria;Hesse;Thuringia,https://www.loipenpark.de/
f208da1c140e4bdaba348f998b835c51fd028e1c,Javalambre,Spain,operating,Teruel,http://www.javalambre.com
d49fb763370f4ddb93f355430d537911de694958,Disentis/Mustér,Switzerland,operating,Graubunden,
a576a9778987780492fa148fd909b5c38caf0552,Splügen-Tambo,Switzerland,operating,Graubunden,http://www.tambo.ch
3e975fe6-6bd7-4718-994b-29397043d523,,Norway,operating,Vestfold og Telemark,
82939fab28fc47fd580a4c3c9125b013d28717fe,Todtnauberg,Germany,operating,Baden-Württemberg,
c9999d9a9dfeeba34753b83f30dc139a82f3c735,Avers,Switzerland,operating,Graubunden,http://www.skilifte-avers.ch/
8ce5e4c8800bd5931b4f28ccc4e3330471892c98,Areál Obří sud,Czechia,operating,Liberec,https://www.areal-obrisud.cz/
70a981c18ff19b709d652842602c240b6fac6387,Minschuns,Switzerland,operating,Graubunden,https://minschuns.ch/
87704ee4d68bbd6b69772d772ddaab8829bc4722,Muggenbrunn,Germany,operating,Baden-Württemberg,
e8d5bd9c-fe5c-4d28-be46-9a0fc8f20f9c,,Belarus,operating,Haradzyenskaya Voblasts',
51c7879d-2950-403e-9d38-f58d749f7f9f,,Norway,operating,Vestfold og Telemark,
df4c0541e78ace196a344e169cb23e9464c26224,Obersaxen,Switzerland,operating,Graubunden,https://www.obersaxen-mundaun.ch
6bf3bc3c072614f9516e18f26c1ad951ad140f3f,St. Antönien,Switzerland,operating,Graubunden,https://www.skiliftjunker.ch/
f9d49079770850663f3c200a1956a203489c57ac,Flumserberg,Switzerland,operating,Saint Gallen,https://www.flumserberg.ch/
c146a14616d0d831dc7ae535c1e8eb4ba21e4f69,Pontresina,Switzerland,operating,Graubunden,https://www.pontresina.ch/
f9beaf4e37ef88b422b9ee4aa2ae9224f10afd02,Corviglia,Switzerland,operating,Graubunden,https://www.mountains.ch/
d85748096538975d96ca3841eaeb1309f59e65c4,Watles,Italy,operating,Bolzano/Bozen,https://www.ortlerskiarena.com/it/aree-sciistiche/val-venosta/watles
80d7ce6065888b636068709c98d261c92d3c7b4f,Krinau,Switzerland,operating,Saint Gallen,https://krinau.ch/skilift/
b609f3d86efe3e3420439e1e1298a4fd0faaf8d7,Gspon,Switzerland,operating,Valais,https://www.staldenried.ch/
